UniqueID,UsageFrequency,TotalDuration,AverageDuration,TimeSinceLastUse,FirstBorrowDate,CurrentAge,NumericalFrequency,EstimatedUsefulLife,RemainingUsefulLife,CalibrationDue,NextCalibrationDate,NextMaintenanceDate,DepreciationDate,PredictedRUL,EquipmentHealth
ENB205P3RLGS04201,10,34.75,3.475,300.34195030857643,2023-11-04,0.8870636550308009,1.0,,,,2025-09-23 08:12:24.506661,2025-09-23,,0.0,
ENB205P3RLGS04202,10,24.5,2.45,296.34195030857643,2023-11-06,0.8815879534565366,1.0,,,,2025-09-23 08:12:24.506661,2025-09-23,,0.0,
ENB205PC1,1,5.5,5.5,2385.3419503085765,2018-03-14,6.529774127310062,1.0,20.0,13.470225872689937,,2025-09-23 08:12:24.506661,2025-09-23,2038-03-14,13.796030116358656,68.98015058179328
ENB205PC10,1,0.066666667,0.066666667,2139.3419503085765,2018-11-15,5.856262833675565,1.0,20.0,14.143737166324435,,2025-09-23 08:12:24.506661,2025-09-23,2038-11-15,14.174401095140315,70.87200547570157
ENB205PC11,1,1.0,1.0,2047.3419503085763,2019-02-15,5.604380561259411,1.0,20.0,14.395619438740589,,2025-09-23 08:12:24.506661,2025-09-23,2039-02-15,14.43394934976044,72.1697467488022
ENB205PC12,1,28.31666667,28.31666667,2033.3419503085763,2019-02-28,5.568788501026694,1.0,20.0,14.431211498973305,,2025-09-23 08:12:24.506661,2025-09-23,2039-02-28,14.347433264887064,71.73716632443532
ENB205PC13,1,0.05,0.05,2025.3419503085763,2019-03-09,5.544147843942505,1.0,20.0,14.455852156057496,,2025-09-23 08:12:24.506661,2025-09-23,2039-03-09,14.547843942505134,72.73921971252567
ENB205PC14,1,0.983333333,0.983333333,1992.3419503085763,2019-04-11,5.453798767967146,1.0,20.0,14.546201232032853,,2025-09-23 08:12:24.506661,2025-09-23,2039-04-11,14.547843942505134,72.73921971252567
ENB205PC15,1,1.583333333,1.583333333,1962.3419503085763,2019-05-11,5.371663244353183,1.0,20.0,14.628336755646817,,2025-09-23 08:12:24.506661,2025-09-23,2039-05-11,14.547843942505134,72.73921971252567
ENB205PC16,1,1.416666667,1.416666667,1931.3419503085763,2019-06-11,5.286789869952088,1.0,20.0,14.713210130047912,,2025-09-23 08:12:24.506661,2025-09-23,2039-06-11,14.656810403832992,73.28405201916496
ENB205PC17,1,0.85,0.85,1790.3419503085763,2019-10-30,4.900752908966461,1.0,20.0,15.09924709103354,,2025-09-23 08:12:24.506661,2025-09-23,2039-10-30,15.25639972621492,76.2819986310746
ENB205PC18,1,4.25,4.25,1676.3419503085763,2020-02-21,4.588637919233402,1.0,20.0,15.411362080766597,,2025-09-23 08:12:24.506661,2025-09-23,2040-02-21,15.256399726214923,76.28199863107461
ENB205PC19,1,1.683333333,1.683333333,1676.3419503085763,2020-02-21,4.588637919233402,1.0,20.0,15.411362080766597,,2025-09-23 08:12:24.506661,2025-09-23,2040-02-21,15.256399726214923,76.28199863107461
ENB205PC2,1,3.0,3.0,2316.3419503085765,2018-05-22,6.3408624229979464,1.0,20.0,13.659137577002053,,2025-09-23 08:12:24.506661,2025-09-23,2038-05-22,13.796030116358656,68.98015058179328
ENB205PC20,1,1.5,1.5,1673.3419503085763,2020-02-24,4.5804243668720055,1.0,20.0,15.419575633127995,,2025-09-23 08:12:24.506661,2025-09-23,2040-02-24,15.256399726214923,76.28199863107461
ENB205PC21,1,0.5,0.5,368.34195030857643,2023-09-21,1.0075290896646132,1.0,20.0,18.99247091033539,,2025-09-23 08:12:24.506661,2025-09-23,2043-09-21,15.014921286789871,75.07460643394936
ENB205PC22,1,0.5,0.5,368.34195030857643,2023-09-21,1.0075290896646132,1.0,20.0,18.99247091033539,,2025-09-23 08:12:24.506661,2025-09-23,2043-09-21,15.014921286789871,75.07460643394936
ENB205PC23,1,3.0,3.0,368.34195030857643,2023-09-21,1.0075290896646132,1.0,20.0,18.99247091033539,,2025-09-23 08:12:24.506661,2025-09-23,2043-09-21,15.014921286789871,75.07460643394936
ENB205PC24,1,3.0,3.0,368.34195030857643,2023-09-21,1.0075290896646132,1.0,20.0,18.99247091033539,,2025-09-23 08:12:24.506661,2025-09-23,2043-09-21,15.014921286789871,75.07460643394936
ENB205PC3,1,3.25,3.25,2315.3419503085765,2018-05-23,6.338124572210814,1.0,20.0,13.661875427789186,,2025-09-23 08:12:24.506661,2025-09-23,2038-05-23,13.796030116358656,68.98015058179328
ENB205PC4,1,4.0,4.0,2271.3419503085765,2018-07-06,6.217659137577002,1.0,20.0,13.782340862422998,,2025-09-23 08:12:24.506661,2025-09-23,2038-07-06,13.796030116358656,68.98015058179328
ENB205PC5,1,2.916666667,2.916666667,2235.3419503085765,2018-08-11,6.119096509240246,1.0,20.0,13.880903490759753,,2025-09-23 08:12:24.506661,2025-09-23,2038-08-11,13.79603011635866,68.9801505817933
ENB205PC6,1,2.916666667,2.916666667,2235.3419503085765,2018-08-11,6.119096509240246,1.0,20.0,13.880903490759753,,2025-09-23 08:12:24.506661,2025-09-23,2038-08-11,13.79603011635866,68.9801505817933
ENB205PC7,1,26.25,26.25,2197.3419503085765,2018-09-17,6.017796030116359,1.0,20.0,13.982203969883642,,2025-09-23 08:12:24.506661,2025-09-23,2038-09-17,13.93949349760438,69.6974674880219
ENB205PC8,1,8.0,8.0,2193.3419503085765,2018-09-22,6.0041067761806985,1.0,20.0,13.995893223819301,,2025-09-23 08:12:24.506661,2025-09-23,2038-09-22,13.97180013689254,69.8590006844627
ENB205PC9,1,24.25,24.25,2170.3419503085765,2018-10-14,5.943874058863792,1.0,20.0,14.056125941136209,,2025-09-23 08:12:24.506661,2025-09-23,2038-10-14,14.01177275838467,70.05886379192334
ENB205PDPSDE301,2,4.25,2.125,319.34195030857643,2022-12-06,1.7987679671457906,1.0,10.0,8.20123203285421,,2025-09-23 08:12:24.506661,2025-09-23,2032-12-06,8.725256673511293,87.25256673511292
ENB205PDPSDE3010,1,4.5,4.5,319.34195030857643,2023-11-09,0.8733744010951403,1.0,10.0,9.126625598904859,,2025-09-23 08:12:24.506661,2025-09-23,2033-11-09,9.095414099931553,90.95414099931553
ENB205PDPSDE302,2,4.75,2.375,319.34195030857643,2022-12-06,1.7987679671457906,1.0,10.0,8.20123203285421,,2025-09-23 08:12:24.506661,2025-09-23,2032-12-06,8.725256673511293,87.25256673511292
ENB205PDPSDE303,2,6.5,3.25,319.34195030857643,2022-12-06,1.7987679671457906,1.0,10.0,8.20123203285421,,2025-09-23 08:12:24.506661,2025-09-23,2032-12-06,8.725256673511293,87.25256673511292
ENB205PDPSDE304,1,1.5,1.5,376.34195030857643,2023-09-13,1.0294318959616702,1.0,10.0,8.97056810403833,,2025-09-23 08:12:24.506661,2025-09-23,2033-09-13,9.095414099931553,90.95414099931553
ENB205PDPSDE305,1,3.0,3.0,319.34195030857643,2023-11-09,0.8733744010951403,1.0,10.0,9.126625598904859,,2025-09-23 08:12:24.506661,2025-09-23,2033-11-09,9.095414099931553,90.95414099931553
