UniqueID,UsageFrequency,TotalDuration,AverageDuration,TimeSinceLastUse,FirstBorrowDate,CurrentAge,NumericalFrequency,EstimatedUsefulLife,RemainingUsefulLife,CalibrationDue,NextCalibrationDate,NextMaintenanceDate,DepreciationDate,PredictedRUL,HealthPercentage,MAE,RMSE,R-squared,F-statistic
ENB205SATA04343,13,67.6,5.199999999999999,681.3419503085763,2018-03-09,6.543463381245722,2.0,10.0,3.456536618754278,,2025-09-23 08:12:24.506661,2025-03-24,2028-03-09,3.878316049506279,38.78316049506279,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205SATA04344,13,62.449999999999996,4.803846153846154,681.3419503085763,2018-04-25,6.414784394250513,2.0,10.0,3.585215605749487,,2025-09-23 08:12:24.506661,2025-03-24,2028-04-25,3.9946986210713433,39.94698621071343,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205SATA04345,13,62.566666667,4.812820512846153,681.3419503085763,2018-04-25,6.414784394250513,2.0,10.0,3.585215605749487,,2025-09-23 08:12:24.506661,2025-03-24,2028-04-25,3.9946847807613857,39.94684780761386,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205SATA04346,13,57.633333332999996,4.433333333307692,681.3419503085763,2018-04-25,6.414784394250513,2.0,10.0,3.585215605749487,,2025-09-23 08:12:24.506661,2025-03-24,2028-04-25,3.9952700281522913,39.952700281522915,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205SC1,11,1571.649999998,142.8772727270909,263.34195030857643,2018-03-20,6.513347022587269,1.0,10.0,3.4866529774127306,,2025-09-23 08:12:24.506661,2025-09-23,2028-03-20,3.5147855988458137,35.14785598845814,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205SLMDI1,6,26.899999997,4.483333332833333,1659.3419503085763,2018-06-10,6.288843258042436,1.0,10.0,3.7111567419575637,,2025-09-23 08:12:24.506661,2025-09-23,2028-06-10,4.502052000555311,45.02052000555311,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205SMWL1,9,200.85,22.316666666666666,657.3419503085763,2018-03-05,6.55441478439425,2.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-03-24,2023-03-05,-0.09594341416456542,-1.9188682832913084,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC1,5,35.699999999999996,7.139999999999999,460.3419503085764,2018-02-04,6.633812457221081,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-02-04,-0.18567314036224802,-3.7134628072449605,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC10,5,41.3,8.26,460.3419503085764,2018-05-12,6.368240930869268,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-05-12,0.05029080091881477,1.0058160183762954,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC11,5,43.516666666999996,8.7033333334,460.3419503085764,2018-06-04,6.30527036276523,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-06-04,0.10576977779629537,2.1153955559259074,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC12,5,756.816666663,151.3633333326,460.3419503085764,2018-06-12,6.283367556468172,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-06-12,-0.25269800266427245,-5.053960053285449,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC13,5,43.983333333,8.7966666666,460.3419503085764,2018-07-09,6.209445585215605,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-07-09,0.19173527201601992,3.8347054403203984,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC14,5,23.583333333,4.7166666666,460.3419503085764,2018-07-09,6.209445585215605,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-07-09,0.20255083517355432,4.0510167034710864,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC15,5,18.5,3.7,460.3419503085764,2018-07-16,6.190280629705681,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-07-16,0.22248847153091944,4.449769430618389,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC16,5,21.833333333,4.3666666666,460.3419503085764,2018-07-17,6.187542778918549,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-07-17,0.22318444862236975,4.463688972447395,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC17,5,12.75,2.55,376.34195030857643,2018-07-20,6.179329226557153,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-07-20,0.20499212633162012,4.099842526632402,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC18,5,16.5,3.3,376.34195030857643,2018-08-30,6.067077344284736,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-08-30,0.3039962362416153,6.079924724832306,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC19,5,19.5,3.9,376.34195030857643,2018-09-10,6.036960985626283,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-09-10,0.3295011979533249,6.590023959066498,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC2,5,15.766666666999999,3.1533333334,460.3419503085764,2018-03-10,6.54072553045859,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-03-10,-0.09135530895874355,-1.827106179174871,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC20,5,9.116666667,1.8233333334000001,376.34195030857643,2018-09-19,6.012320328542095,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-09-19,0.35717521197943913,7.143504239588783,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC21,5,58.65,11.73,376.34195030857643,2018-09-22,6.0041067761806985,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-09-22,0.338303571513511,6.76607143027022,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC22,4,125.21666667,31.3041666675,460.3419503085764,2018-09-22,6.0041067761806985,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-09-22,0.318757764087493,6.37515528174986,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC23,4,8.4,2.1,460.3419503085764,2018-09-24,5.9986310746064335,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-09-24,0.40514797566833805,8.102959513366761,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC24,4,33.433333333,8.35833333325,460.3419503085764,2018-09-25,5.9958932238193015,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-09-25,0.3901538515251768,7.803077030503536,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
ENB205UC25,4,36.783333333,9.19583333325,460.3419503085764,2018-09-25,5.9958932238193015,1.0,5.0,0.0,,2025-09-23 08:12:24.506661,2025-09-23,2023-09-25,0.3878176815029133,7.756353630058266,0.8053893579287987,1.1402053125883655,0.9338010617193649,919.2398564471581
